$	ID	;	[	NUM	];	(	)	int	void	,	]	{	}	break	if	else	while	return	for	=	<	==	+	-	*	┤
Program	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	+
Declarationlist	+	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	−	+	+	+	−	−	−	+	+	−	−
Declaration	+	+	+	−	+	−	+	−	+	+	−	−	+	+	+	+	−	+	+	+	−	−	−	+	+	−	−
Declarationinitial	−	−	+	+	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Declarationprime	+	+	+	−	+	−	+	−	+	+	−	−	+	+	+	+	−	+	+	+	−	−	−	+	+	−	−
Vardeclarationprime	+	+	+	−	+	−	+	−	+	+	−	−	+	+	+	+	−	+	+	+	−	−	−	+	+	−	−
Fundeclarationprime	+	+	+	−	+	−	+	−	+	+	−	−	+	+	+	+	−	+	+	+	−	−	−	+	+	−	−
Typespecifier	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Params	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Paramlistvoidabtar	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Paramlist	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Param	−	−	−	−	−	−	−	+	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Paramprime	−	−	−	−	−	−	−	+	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Paramprim	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Compoundstmt	+	+	+	−	+	−	+	−	+	+	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Statementlist	−	−	−	−	−	−	−	−	−	−	−	−	−	+	−	−	−	−	−	−	−	−	−	−	−	−	−
Statement	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Expressionstmt	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Selectionstmt	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Iterationstmt	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Returnstmt	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Returnstmtprime	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Forstmt	−	+	+	−	+	−	+	−	−	−	−	−	+	+	+	+	+	+	+	+	−	−	−	+	+	−	−
Vars	−	+	+	−	+	−	+	−	−	−	−	−	+	−	+	+	−	+	+	+	−	−	−	+	+	−	−
Varzegond	−	+	+	−	+	−	+	−	−	−	−	−	+	−	+	+	−	+	+	+	−	−	−	+	+	−	−
Var	−	+	+	−	+	−	+	−	−	−	+	−	+	−	+	+	−	+	+	+	−	−	−	+	+	−	−
Expression	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
B	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
H	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Simpleexpressionzegond	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
Simpleexpressionprime	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
C	−	−	+	−	−	−	−	+	−	−	+	+	−	−	−	−	−	−	−	−	−	−	−	−	−	−	−
